"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"20.06.2024","3.301,49","3.300,20","3.306,61","3.296,86","0,00K","0,04%"
"19.06.2024","3.300,19","3.301,41","3.306,33","3.299,04","0,00K","-0,04%"
"18.06.2024","3.301,41","3.305,95","3.309,44","3.299,59","0,00K","-0,14%"
"17.06.2024","3.305,93","3.312,59","3.315,57","3.303,65","0,00K","-0,20%"
"14.06.2024","3.312,59","3.295,71","3.313,69","3.295,61","0,00K","0,51%"
"13.06.2024","3.295,71","3.320,44","3.322,02","3.295,23","0,00K","-0,74%"
"12.06.2024","3.320,42","3.334,99","3.339,29","3.318,34","0,00K","-0,44%"
"11.06.2024","3.334,98","3.345,24","3.349,55","3.333,45","0,00K","-0,31%"
"10.06.2024","3.345,21","3.358,85","3.360,02","3.344,91","0,00K","-0,41%"
"07.06.2024","3.358,85","3.358,90","3.361,27","3.355,63","","0,00%"
"06.06.2024","3.358,89","3.356,08","3.363,26","3.354,35","","0,08%"
"05.06.2024","3.356,08","3.364,02","3.368,54","3.354,10","","-0,24%"
"04.06.2024","3.364,04","3.371,58","3.374,44","3.363,08","","-0,22%"
"03.06.2024","3.371,58","3.382,34","3.385,03","3.370,57","","-0,32%"
"31.05.2024","3.382,34","3.371,10","3.383,82","3.370,83","","0,33%"
"29.05.2024","3.371,11","3.363,65","3.371,39","3.363,65","","0,22%"
"28.05.2024","3.363,68","3.374,83","3.376,23","3.361,61","","-0,33%"
"27.05.2024","3.374,83","3.379,05","3.381,02","3.372,91","","-0,12%"
"24.05.2024","3.379,01","3.374,75","3.382,25","3.374,75","","0,13%"
"23.05.2024","3.374,75","3.383,73","3.384,55","3.373,48","","-0,27%"
"22.05.2024","3.383,74","3.386,75","3.388,95","3.379,86","","-0,09%"
"21.05.2024","3.386,75","3.391,27","3.391,76","3.383,47","","-0,13%"
"20.05.2024","3.391,26","3.392,31","3.393,75","3.388,92","","-0,03%"
"17.05.2024","3.392,31","3.379,55","3.392,46","3.379,55","","0,38%"
"16.05.2024","3.379,54","3.372,59","3.381,41","3.372,59","","0,21%"
"15.05.2024","3.372,59","3.367,73","3.375,59","3.367,73","","0,14%"
